id,name,artifact_type,category,availability,status,primary_url,description
end-to-end-fine-tuning-frameworks-and-platforms--axolotl,Axolotl,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/axolotl-ai-cloud/axolotl,"Axolotl is a configuration-driven post-training framework supporting full fine-tuning, LoRA/QLoRA, preference optimization, reward modeling, GRPO-family methods, multimodal models, and distributed backends including FSDP and DeepSpeed."
end-to-end-fine-tuning-frameworks-and-platforms--unsloth,Unsloth,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/unslothai/unsloth,"Unsloth is a fine-tuning library with custom kernels and memory optimizations for SFT, LoRA/QLoRA, DPO, and reinforcement-learning workflows on supported language and vision-language models."
end-to-end-fine-tuning-frameworks-and-platforms--llama-factory,LLaMA-Factory,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/hiyouga/LLaMA-Factory,"LLaMA-Factory is a unified fine-tuning framework with command-line and web interfaces for many text and multimodal models, covering pretraining, SFT, reward modeling, preference optimization, PPO, and adapter methods."
end-to-end-fine-tuning-frameworks-and-platforms--nvidia-nemo-framework,NVIDIA NeMo Framework,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/NVIDIA-NeMo/NeMo,"NVIDIA NeMo Framework is a modular framework for training, adapting, and evaluating language, speech, and multimodal models, with Megatron-based parallelism, PEFT recipes, checkpoint conversion, and NVIDIA platform integrations."
end-to-end-fine-tuning-frameworks-and-platforms--ludwig,Ludwig,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/ludwig-ai/ludwig,"Ludwig is a declarative machine-learning framework that fine-tunes language models through YAML or Python configurations and includes data preprocessing, distributed training, hyperparameter search, evaluation, and model export."
end-to-end-fine-tuning-frameworks-and-platforms--h2o-llm-studio,H2O LLM Studio,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/h2oai/h2o-llmstudio,"H2O LLM Studio is a graphical and configuration-based application for fine-tuning instruction-following language models with LoRA, QLoRA, preference data, experiment comparison, and checkpoint export."
end-to-end-fine-tuning-frameworks-and-platforms--ms-swift,ms-swift,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/modelscope/ms-swift,"ms-swift is ModelScope's framework for training, aligning, evaluating, quantizing, and deploying text and multimodal models, with full-parameter, PEFT, Megatron, preference-learning, and GRPO-family recipes."
end-to-end-fine-tuning-frameworks-and-platforms--xtuner,XTuner,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/InternLM/xtuner,"XTuner is an open training engine for language and multimodal models that provides SFT, PEFT, preference optimization, reinforcement learning, sequence parallelism, and recipes for dense and mixture-of-experts architectures."
end-to-end-fine-tuning-frameworks-and-platforms--autotrain-advanced,AutoTrain Advanced,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/huggingface/autotrain-advanced,"AutoTrain Advanced is Hugging Face's low-code training toolkit for running text and multimodal fine-tuning jobs locally or on connected compute, with dataset preprocessing and Hub integration."
end-to-end-fine-tuning-frameworks-and-platforms--llm-foundry,LLM Foundry,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/mosaicml/llm-foundry,"LLM Foundry is MosaicML's codebase for training, fine-tuning, evaluating, and exporting language models using Composer, with configuration-driven recipes and distributed strategies such as FSDP."
end-to-end-fine-tuning-frameworks-and-platforms--litgpt,LitGPT,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/Lightning-AI/litgpt,"LitGPT is Lightning AI's readable implementation and training toolkit for many language-model architectures, with pretraining, full fine-tuning, LoRA/QLoRA, adapter, quantization, and checkpoint-conversion recipes."
end-to-end-fine-tuning-frameworks-and-platforms--torchtune,torchtune,platform,End-to-End Fine-Tuning Frameworks and Platforms,open-source,active,https://github.com/pytorch/torchtune,"torchtune is a PyTorch-native post-training library organized around hackable recipes for SFT, LoRA/QLoRA, knowledge distillation, preference optimization, quantization-aware training, and distributed execution."
sft-and-core-training-libraries--hugging-face-transformers,Hugging Face Transformers,framework-or-library,SFT and Core Training Libraries,open-source,active,https://github.com/huggingface/transformers,"Hugging Face Transformers provides model implementations, tokenizers, data collators, generation utilities, and the Trainer API used by many SFT and post-training stacks across PyTorch, TensorFlow, and JAX."
sft-and-core-training-libraries--mosaicml-composer,MosaicML Composer,framework-or-library,SFT and Core Training Libraries,open-source,active,https://github.com/mosaicml/composer,"MosaicML Composer is a PyTorch training library with a configurable Trainer, distributed execution, checkpointing, callbacks, and algorithm hooks; it is the training engine beneath LLM Foundry."
sft-and-core-training-libraries--mlx-lm,MLX LM,framework-or-library,SFT and Core Training Libraries,open-source,active,https://github.com/ml-explore/mlx-lm,"MLX LM is Apple's toolkit for generating from and fine-tuning language models with MLX on Apple silicon, including full, LoRA, and QLoRA-style training plus model conversion."
sft-and-core-training-libraries--maxtext,MaxText,framework-or-library,SFT and Core Training Libraries,open-source,active,https://github.com/AI-Hypercomputer/maxtext,"MaxText is a JAX reference implementation for scalable transformer training on Google Cloud accelerators, with pretraining and fine-tuning configurations, distributed sharding, checkpointing, and performance recipes."
sft-and-core-training-libraries--easylm,EasyLM,framework-or-library,SFT and Core Training Libraries,open-source,active,https://github.com/young-geng/EasyLM,"EasyLM is a JAX/Flax language-model training codebase with scripts for pretraining, supervised fine-tuning, evaluation, and checkpoint conversion across supported transformer architectures."
sft-and-core-training-libraries--olmo-core,OLMo-core,framework-or-library,SFT and Core Training Libraries,open-source,active,https://github.com/allenai/OLMo-core,"OLMo-core is AI2's PyTorch library for building and training language models, exposing distributed training, data mixing, checkpointing, optimizers, and reusable components from the OLMo program."
sft-and-core-training-libraries--nanotron,Nanotron,framework-or-library,SFT and Core Training Libraries,open-source,active,https://github.com/huggingface/nanotron,"Nanotron is Hugging Face's minimal distributed transformer-training library for pretraining and fine-tuning, with tensor, pipeline, data, context, and expert parallelism."
sft-and-core-training-libraries--pytorch-lightning,PyTorch Lightning,framework-or-library,SFT and Core Training Libraries,open-source,active,https://github.com/Lightning-AI/pytorch-lightning,"PyTorch Lightning is a structured training-loop framework that supplies distributed strategies, mixed precision, callbacks, logging, checkpointing, and accelerator portability for custom language-model fine-tuning code."
sft-and-core-training-libraries--kerashub,KerasHub,framework-or-library,SFT and Core Training Libraries,open-source,active,https://github.com/keras-team/keras-hub,"KerasHub is the Keras library of pretrained modeling components and task APIs, including causal-language-model presets, LoRA enablement, tokenization, generation, and fine-tuning across supported backends."
peft-lora-and-adapter-tooling--hugging-face-peft,Hugging Face PEFT,tool,"PEFT, LoRA, and Adapter Tooling",open-source,active,https://github.com/huggingface/peft,"Hugging Face PEFT is a library for training, composing, merging, saving, and loading parameter-efficient adapters, including LoRA, DoRA, AdaLoRA, IA3, prompt tuning, prefix tuning, and related methods."
peft-lora-and-adapter-tooling--loralib,loralib,tool,"PEFT, LoRA, and Adapter Tooling",open-source,active,https://github.com/microsoft/LoRA,"loralib is Microsoft's reference PyTorch implementation accompanying the LoRA paper, providing low-rank replacements for common layers and utilities for marking only LoRA parameters trainable."
peft-lora-and-adapter-tooling--adapters,Adapters,tool,"PEFT, LoRA, and Adapter Tooling",open-source,active,https://github.com/adapter-hub/adapters,"Adapters is a unified library for parameter-efficient and modular transfer learning, integrating LoRA, prefix tuning, bottleneck adapters, composition, merging, and quantized adapter training with transformer models."
peft-lora-and-adapter-tooling--adapterhub,AdapterHub,tool,"PEFT, LoRA, and Adapter Tooling",open-source,active,https://adapterhub.ml,"AdapterHub is an open ecosystem for discovering, sharing, and composing pretrained adapter modules; each uploaded adapter remains governed by its own metadata, base-model license, and usage terms."
peft-lora-and-adapter-tooling--opendelta,OpenDelta,tool,"PEFT, LoRA, and Adapter Tooling",open-source,active,https://github.com/thunlp/OpenDelta,"OpenDelta is a plug-and-play delta-tuning library that injects trainable LoRA, prefix, adapter, and other lightweight modules into supported pretrained PyTorch models."
peft-lora-and-adapter-tooling--qlora,QLoRA,tool,"PEFT, LoRA, and Adapter Tooling",open-source,active,https://github.com/artidoro/qlora,"QLoRA is the reference implementation for fine-tuning LoRA adapters over a frozen 4-bit quantized base model using NF4, double quantization, and paged optimizers."
peft-lora-and-adapter-tooling--mergekit,mergekit,tool,"PEFT, LoRA, and Adapter Tooling",open-source,active,https://github.com/arcee-ai/mergekit,"mergekit is an Apache-licensed toolkit for combining language-model checkpoints and LoRA adapters with multiple merge methods, out-of-core processing, tensor selection, and configuration-driven workflows."
peft-lora-and-adapter-tooling--llm-adapters,LLM-Adapters,tool,"PEFT, LoRA, and Adapter Tooling",open-source,active,https://github.com/AGI-Edgerunners/LLM-Adapters,"LLM-Adapters is a research toolkit and benchmark for applying and comparing parameter-efficient adapters across language-model tasks, including LoRA-family and bottleneck-style methods."
peft-lora-and-adapter-tooling--lora-ga,LoRA-GA,tool,"PEFT, LoRA, and Adapter Tooling",open-source,active,https://github.com/Outsider565/LoRA-GA,"LoRA-GA is the reference implementation of gradient-approximation initialization for LoRA adapters, intended to initialize low-rank updates using estimated full fine-tuning gradients."
distributed-training-and-training-optimization--deepspeed,DeepSpeed,tool,Distributed Training and Training Optimization,open-source,active,https://github.com/deepspeedai/DeepSpeed,"DeepSpeed is Microsoft's distributed deep-learning library providing ZeRO optimizer-state and parameter sharding, pipeline and tensor parallelism, mixed precision, offload, checkpointing, and training optimizations used by many LLM frameworks."
distributed-training-and-training-optimization--megatron-lm,Megatron-LM,tool,Distributed Training and Training Optimization,open-source,active,https://github.com/NVIDIA/Megatron-LM,"Megatron-LM is NVIDIA's framework for large-scale transformer training with tensor, pipeline, sequence, context, data, and expert parallelism plus distributed checkpointing."
distributed-training-and-training-optimization--colossalai,ColossalAI,tool,Distributed Training and Training Optimization,open-source,active,https://github.com/hpcaitech/ColossalAI,"ColossalAI is a distributed training system with sharded optimizers, heterogeneous memory management, tensor and pipeline parallelism, mixture-of-experts support, and LLM fine-tuning examples."
distributed-training-and-training-optimization--hugging-face-accelerate,Hugging Face Accelerate,tool,Distributed Training and Training Optimization,open-source,active,https://github.com/huggingface/accelerate,"Hugging Face Accelerate provides a unified interface for running PyTorch training code across CPUs, GPUs, TPUs, mixed precision, DeepSpeed, FSDP, and multi-node configurations."
distributed-training-and-training-optimization--pytorch-fsdp,PyTorch FSDP,tool,Distributed Training and Training Optimization,open-source,active,https://pytorch.org/docs/stable/fsdp.html,"PyTorch FSDP is PyTorch's native Fully Sharded Data Parallel API for sharding model parameters, gradients, and optimizer states across data-parallel workers during training."
distributed-training-and-training-optimization--torchtitan,TorchTitan,tool,Distributed Training and Training Optimization,open-source,active,https://github.com/pytorch/torchtitan,"TorchTitan is a PyTorch-native reference platform for large-model training that composes FSDP, tensor, pipeline, context, and expert parallelism with distributed checkpointing and profiling."
distributed-training-and-training-optimization--ray-train,Ray Train,tool,Distributed Training and Training Optimization,open-source,active,https://github.com/ray-project/ray,"Ray Train is Ray's distributed training library for scaling PyTorch and Hugging Face workloads across workers and clusters with fault tolerance, storage integration, and orchestration APIs."
distributed-training-and-training-optimization--nvidia-transformer-engine,NVIDIA Transformer Engine,tool,Distributed Training and Training Optimization,open-source,active,https://github.com/NVIDIA/TransformerEngine,"NVIDIA Transformer Engine provides optimized transformer layers, attention, and mixed-precision formats such as FP8 for training on supported NVIDIA, AMD, and Intel accelerators."
distributed-training-and-training-optimization--flashattention,FlashAttention,tool,Distributed Training and Training Optimization,open-source,active,https://github.com/Dao-AILab/flash-attention,"FlashAttention is an exact, IO-aware attention implementation with CUDA kernels commonly integrated into fine-tuning frameworks to reduce attention memory traffic and support longer sequences."
distributed-training-and-training-optimization--liger-kernel,Liger Kernel,tool,Distributed Training and Training Optimization,open-source,active,https://github.com/linkedin/Liger-Kernel,"Liger Kernel is a collection of Triton kernels for transformer training operations, including fused losses, normalization, rotary embeddings, and memory-efficient linear cross entropy."
distributed-training-and-training-optimization--xformers,xFormers,tool,Distributed Training and Training Optimization,open-source,active,https://github.com/facebookresearch/xformers,"xFormers is Meta's library of composable and optimized transformer building blocks, including memory-efficient attention operators used by training and fine-tuning systems."
